_id,fid,perimeter,name,acres,shape_length,shape_area
14827,454,,OHAVE ZEDEK CEMETERY,0.520278091,0.001959635,2.24E-07
14828,455,,BETHANY CEMETERY,0.923429645,0.002594525,3.96E-07
14829,456,,MONONGAHELA CEMETERY,64.74756208,0.029052543,2.78E-05
14830,457,,ST JOHN THE BAPTIST CEMETERY,0.438240528,0.002289438,1.88E-07
14831,458,,ST MARY OF THE ASSUMPTION CEMETERY,14.88519244,0.011456445,6.41E-06
14832,459,,BLACKBURN UNITED METHODIST CHURCH CEMETERY,0.969240845,0.002918758,4.17E-07
14833,460,,CALVARY CEMETERY,1.654349593,0.003665018,7.09E-07
14834,461,,OUR LADY OF HOPE CEMETERY,109.3400625,0.028247465,4.71E-05
14835,462,,ST NICHOLAS CEMETERY,1.090843898,0.003356537,4.68E-07
14836,463,,STS PETER & PAUL CEMETERY,3.650542782,0.005523853,1.57E-06
14837,464,,MONTOUR CEMETERY,2.585567811,0.005294002,1.11E-06
14838,465,,MT ROYAL CEMETERY,88.15701405,0.033087023,3.79E-05
14839,466,,VERONA CEMETERY,8.164617824,0.008212822,3.51E-06
14840,467,,GEMILAS CHESED CEMETERY ,18.78851728,0.011397736,8.06E-06
14841,468,,OLD GEMILAS CHESED CEMETERY,1.449295052,0.004664868,6.21E-07
14842,469,,TEMPLE BNAI ISRAEL CEMETERY,3.984436951,0.006229781,1.71E-06
14843,470,,CROSSROADS CEMETERY,6.399233383,0.007686957,2.75E-06
14844,471,,PETERS CREEK CEMETERY,0.586776094,0.002312491,2.52E-07
14845,472,,DRAVO CEMETERY,0.899144929,0.002524337,3.85E-07
14846,473,,GOOD SAMARITAN CATHOLIC CEMETERY,14.9955332,0.011612267,6.46E-06
14847,474,,ADATH JESHURUN CEMETERY,7.015542705,0.007861877,3.02E-06
14848,475,,PROSPECT CEMETERY,13.87017925,0.01013529,5.97E-06
14849,476,,MINERSVILLE CEMETERY,4.482869029,0.006320995,1.93E-06
14850,477,,HOLY VIRGIN RUSSIAN ORTHODOX CEMETERY,3.768418651,0.005173922,1.62E-06
14851,478,,ST MARYS UKRAINIAN GREEK CATHOLIC CEMETERY ,4.607207856,0.005712669,1.98E-06
14852,479,,PLISKOVER CEMETERY,2.169511937,0.004101696,9.33E-07
14853,480,,AHAVATH ACHIM CEMETERY ,0.820942008,0.002932262,3.53E-07
14854,481,,BETHANY CEMETERY,4.065460725,0.005588839,1.75E-06
14855,482,,ANSHE LUBOVITZ CEMETERY,1.416208468,0.00335033,6.09E-07
14856,483,,CHESED SHEL EMETH CEMETERY,4.188875105,0.005430633,1.80E-06
14857,484,,OAK GROVE CEMETERY,4.346593064,0.005808276,1.87E-06
14858,485,,HUNGARIAN REFORMED CEMETERY ,2.866665822,0.005928863,1.23E-06
14859,486,,ST ANNE CEMETERY,8.636632084,0.009803883,3.71E-06
14860,487,,AGUDATH ACHIM CEMETERY,3.128932973,0.005649968,1.34E-06
14861,488,,ALL SAINTS CEMETERY,59.81673899,0.024911601,2.57E-05
14862,489,,TURNER CEMETERY,0.687234725,0.002553565,2.95E-07
14863,490,,VALLEY CEMETERY,6.916983126,0.008972151,2.97E-06
14864,491,,FAIRVIEW CEMETERY,5.645528565,0.006646508,2.42E-06
14865,492,,ST JOSEPH CEMETERY,5.742052552,0.011542804,2.46E-06
14866,493,,LEBANON CHURCH CEMETERY,13.30551382,0.010264796,5.71E-06
14867,494,,ST JOSEPHS CEMETERY,9.221985341,0.008395435,3.97E-06
14868,495,,RICHEY FAMILY CEMETERY,0.136405384,0.000985037,5.86E-08
14869,496,,HOLY FAMILY CEMETERY,4.057715239,0.008229495,1.74E-06
14870,497,,DEER CREEK CEMETERY,20.77883412,0.014700994,8.94E-06
14871,498,,GREENOCK CEMETERY,0.944165893,0.002635268,4.05E-07
14872,499,,JEFFERSON METHODIST EPISCOPAL CEMETERY,1.294530842,0.003053643,5.55E-07
14873,500,,ELIZABETH CEMETERY,11.29821079,0.00944646,4.84E-06
14874,501,,ST JOHN VIANNEY CEMETERY,34.55266359,0.016395204,1.48E-05
14875,502,,ST NICHOLAS CEMETERY,26.28059809,0.018768265,1.13E-05
14876,503,,ALLEGHENY CEMETERY,300.9360271,0.064117451,0.00012934
14877,504,,ST CLAIR CEMETERY,2.723764596,0.004831621,1.17E-06
14878,505,,HOMESTEAD CEMETERY,16.65225884,0.01233178,7.15E-06
14879,506,,ST MARY MAGDELENE CEMETERY,12.40568948,0.011179777,5.33E-06
14880,507,,ST GEORGE CEMETERY,13.11233244,0.011976328,5.63E-06
14881,508,,ST JOHNS CEMETERY,5.508385141,0.008212877,2.37E-06
14882,509,,MT ASSISI CONVENT CEMETERY,0.521613625,0.001875337,2.24E-07
14883,510,,ST STANISLAUS AND ST ANTHONY CATHOLIC CEMETERY,108.0667154,0.037976088,4.65E-05
14884,511,,ST MARYS CEMETERY,80.15773889,0.057705743,3.45E-05
14885,512,,BNAI ISRAEL CEMETERY,9.166353918,0.018270877,3.94E-06
14886,513,,UNION CEMETERY,4.814828182,0.007154533,2.07E-06
14887,514,,GREENWOOD CEMETERY,61.54736272,0.025714835,2.65E-05
14888,515,,BRADDOCK CEMETERY,30.51253724,0.017043724,1.31E-05
14889,516,,BRIGHT CEMETERY,0.268389236,0.001374301,1.15E-07
14890,517,,ST MARY CEMETERY,6.240961755,0.00694906,2.68E-06
